server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,100,4096,1,3,202853.9,208.6,485.0,686.3,878.1,484.8,685.7,878.2,484.1,683.5,879.5,8.16,0,0,none,
rs,put-reserve-delete,100,4096,1,3,204014.0,210.8,484.8,658.1,809.6,485.0,654.2,794.8,483.9,653.7,797.1,8.55,0,0,none,
ref,put-reserve-delete,100,4096,1,4,204336.6,208.2,483.8,655.0,846.0,483.8,656.5,851.6,482.9,655.8,848.3,8.42,0,0,none,
rs,put-reserve-delete,100,4096,1,4,202095.4,213.3,485.3,750.0,944.9,485.3,748.6,938.8,484.5,747.7,937.1,8.31,0,0,none,
ref,put-reserve-delete,100,4096,1,5,204127.8,207.7,484.4,658.9,868.8,484.2,657.9,869.6,483.7,659.0,874.0,8.28,0,0,none,
rs,put-reserve-delete,100,4096,1,5,204501.7,208.4,484.3,649.2,794.8,484.2,649.2,798.0,483.2,648.8,801.8,8.34,0,0,none,
ref,producers-consumers,10,16,1,1,180100.5,131.8,53.2,104.6,150.8,53.5,105.3,152.3,52.9,104.3,150.5,8.95,0,0,none,
rs,producers-consumers,10,16,1,1,180599.4,134.3,52.9,106.5,172.5,53.2,106.8,169.5,52.6,106.2,171.2,8.33,0,0,none,
ref,producers-consumers,10,16,1,2,179179.0,132.0,53.3,107.4,182.6,53.6,108.3,183.6,53.0,107.2,181.0,7.57,0,0,none,
rs,producers-consumers,10,16,1,2,179368.7,133.0,53.3,105.6,173.7,53.6,106.3,172.9,53.2,105.3,174.9,7.10,0,0,none,
ref,producers-consumers,10,16,1,3,178130.1,133.0,53.5,109.4,172.5,53.8,110.2,172.3,53.3,109.8,170.0,6.60,0,0,none,
rs,producers-consumers,10,16,1,3,176936.8,133.8,53.3,120.2,235.4,53.6,119.8,234.2,53.0,119.6,230.0,6.63,0,0,none,
ref,producers-consumers,10,16,1,4,179967.5,133.1,53.1,106.3,168.1,53.4,106.9,169.0,52.9,106.0,164.6,6.23,0,0,none,
rs,producers-consumers,10,16,1,4,160595.1,142.4,58.2,136.5,195.9,58.5,137.1,199.8,57.9,135.4,195.3,6.11,0,0,none,
ref,producers-consumers,10,16,1,5,172576.7,134.7,54.4,129.7,211.5,54.6,130.7,214.5,54.1,128.5,213.5,6.17,0,0,none,
rs,producers-consumers,10,16,1,5,179331.5,133.2,53.3,107.0,156.1,53.6,107.3,155.0,53.1,107.0,156.5,6.14,0,0,none,
ref,producers-consumers,10,4096,1,1,168805.7,145.7,56.6,122.0,210.2,56.5,121.6,208.0,55.5,120.9,209.5,6.18,0,0,none,
rs,producers-consumers,10,4096,1,1,171053.3,147.3,56.3,113.3,172.7,56.2,112.6,173.9,55.2,111.8,172.8,6.64,0,0,none,
ref,producers-consumers,10,4096,1,2,171317.8,146.5,56.2,113.4,172.9,56.2,113.8,169.6,55.1,112.1,169.0,6.55,0,0,none,
rs,producers-consumers,10,4096,1,2,171255.4,148.2,56.2,113.3,175.3,56.0,113.5,172.3,55.2,111.8,173.7,7.18,0,0,none,
ref,producers-consumers,10,4096,1,3,169495.7,146.2,56.4,120.0,210.6,56.2,119.5,209.1,55.2,118.8,207.9,6.61,0,0,none,
rs,producers-consumers,10,4096,1,3,170772.4,147.3,56.5,112.8,176.8,56.4,113.4,175.4,55.3,112.0,175.2,6.99,0,0,none,
ref,producers-consumers,10,4096,1,4,170079.4,146.5,56.8,112.3,170.4,56.7,112.4,167.4,55.7,111.2,165.8,6.91,0,0,none,
rs,producers-consumers,10,4096,1,4,145745.0,157.0,64.0,157.8,263.6,63.8,157.6,259.6,62.7,156.1,254.8,7.01,0,0,none,
ref,producers-consumers,10,4096,1,5,153393.3,154.5,61.4,144.3,210.3,61.2,143.5,208.6,60.1,141.4,205.7,6.94,0,0,none,
rs,producers-consumers,10,4096,1,5,166240.1,151.1,57.5,125.0,177.7,57.3,124.0,177.2,56.3,122.3,174.7,6.96,0,0,none,
ref,producers-consumers,100,16,1,1,204239.5,200.9,475.4,743.9,1047.0,475.9,745.6,1070.2,475.2,744.9,1073.1,6.89,0,0,none,
rs,producers-consumers,100,16,1,1,203704.2,200.7,476.5,738.1,986.4,477.1,740.0,1030.2,476.3,738.7,1018.3,6.91,0,0,none,
ref,producers-consumers,100,16,1,2,190932.7,206.6,493.7,947.8,1770.9,494.2,950.5,1772.5,493.1,953.9,1820.5,6.81,0,0,none,
rs,producers-consumers,100,16,1,2,186698.8,214.4,504.9,884.5,1362.1,505.5,885.2,1298.5,504.8,882.9,1392.9,6.99,0,0,none,
ref,producers-consumers,100,16,1,3,201764.8,200.0,480.1,760.1,1107.3,480.7,763.5,1263.0,479.8,759.1,1127.5,7.52,0,0,none,
rs,producers-consumers,100,16,1,3,193713.1,210.1,491.0,819.0,1377.1,491.6,821.2,1300.4,490.6,816.8,1316.4,7.82,0,0,none,
ref,producers-consumers,100,16,1,4,195556.4,207.2,490.0,810.4,1094.4,490.4,813.4,1160.9,489.8,809.7,1138.4,7.58,0,0,none,
rs,producers-consumers,100,16,1,4,185608.3,213.6,508.8,898.7,1341.7,509.6,900.7,1343.4,508.3,899.1,1418.2,7.22,0,0,none,
ref,producers-consumers,100,16,1,5,162719.7,226.8,592.9,1027.8,2693.4,594.2,1030.0,2673.2,592.7,1027.3,2700.2,7.87,0,0,none,
rs,producers-consumers,100,16,1,5,169094.3,224.1,578.5,964.5,1649.0,579.5,966.8,1643.2,578.0,966.0,1640.5,8.94,0,0,none,
ref,producers-consumers,100,4096,1,1,163229.2,255.2,605.8,944.2,1301.6,605.7,946.3,1216.3,604.0,944.0,1418.1,8.68,0,0,none,
rs,producers-consumers,100,4096,1,1,160319.4,252.2,610.7,1042.1,2017.9,611.1,1038.5,1934.0,610.1,1043.0,2049.0,7.87,0,0,none,
ref,producers-consumers,100,4096,1,2,157214.3,253.7,622.2,1040.5,2018.1,622.6,1045.5,2002.4,621.0,1032.3,1993.0,7.64,0,0,none,
rs,producers-consumers,100,4096,1,2,158801.2,252.8,617.8,1021.0,2154.5,618.0,1023.7,2234.1,616.3,1020.0,2142.3,7.54,0,0,none,
ref,producers-consumers,100,4096,1,3,154106.6,257.3,634.5,1086.4,2177.1,634.8,1083.8,2083.7,633.0,1083.9,2279.5,8.37,0,0,none,
rs,producers-consumers,100,4096,1,3,153921.8,256.5,633.8,1091.8,2297.8,633.7,1097.3,2521.6,632.5,1089.2,2232.8,7.91,0,0,none,
ref,producers-consumers,100,4096,1,4,165901.6,251.6,590.5,966.5,1392.9,590.9,968.1,1384.5,588.7,959.9,1395.2,8.16,0,0,none,
rs,producers-consumers,100,4096,1,4,155874.0,256.2,627.6,1085.3,1942.4,628.2,1084.2,1947.2,626.1,1081.9,1950.6,9.25,0,0,none,
ref,producers-consumers,100,4096,1,5,199070.7,228.7,494.1,699.6,936.8,494.3,701.8,963.8,493.0,698.1,944.5,8.58,0,0,none,
rs,producers-consumers,100,4096,1,5,197658.8,230.4,499.5,674.6,927.4,499.5,674.7,1016.0,498.4,673.1,911.4,8.86,0,0,none,
