server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,producers-consumers,2,16,1,1,55237.5,45.6,33.4,78.2,113.2,34.3,79.6,112.8,32.9,78.5,114.1,13.47
rs,producers-consumers,2,16,1,1,54748.8,60.5,32.9,83.3,114.0,34.2,83.8,117.1,32.2,81.5,109.7,12.31
ref,producers-consumers,2,16,1,2,55347.6,45.7,33.2,78.6,112.0,34.2,79.7,113.3,32.8,78.4,114.2,11.04
rs,producers-consumers,2,16,1,2,47744.6,59.2,37.3,95.5,133.3,38.8,96.1,137.3,36.8,95.4,134.6,11.16
ref,producers-consumers,2,16,1,3,48583.0,47.9,37.4,91.3,123.2,38.7,92.5,128.3,37.0,90.0,122.0,10.68
rs,producers-consumers,2,16,1,3,42377.2,61.7,43.9,102.7,142.6,45.3,104.0,147.8,43.2,101.0,139.0,9.73
ref,producers-consumers,2,4096,1,1,53511.6,47.8,35.2,80.8,117.8,35.3,77.7,108.2,33.0,74.8,108.2,9.07
rs,producers-consumers,2,4096,1,1,50324.3,61.9,36.0,92.0,133.1,36.9,92.9,133.6,33.9,89.0,126.4,8.20
ref,producers-consumers,2,4096,1,2,53391.6,47.8,35.3,83.2,121.1,35.4,80.0,117.4,32.8,76.6,111.0,7.95
rs,producers-consumers,2,4096,1,2,46437.4,61.1,39.0,98.8,133.2,39.5,100.7,136.0,36.7,95.5,130.4,7.65
ref,producers-consumers,2,4096,1,3,46928.8,49.7,39.4,98.2,133.6,39.8,92.1,125.7,37.0,89.0,118.0,7.53
rs,producers-consumers,2,4096,1,3,46153.4,62.5,39.7,97.4,129.5,39.9,97.2,130.6,37.2,93.6,126.6,7.30
ref,producers-consumers,10,16,1,1,109583.1,86.8,85.7,200.1,258.8,87.0,201.0,260.4,85.1,198.8,256.8,7.24
