server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
rs,put-reserve-delete,100,4096,1,3,130983.4,251.2,759.4,1038.3,1317.5,759.3,1040.1,1299.7,757.3,1036.8,1294.9,10.02,0,0
ref,producers-consumers,2,16,1,1,52047.1,46.7,35.0,85.5,127.6,36.1,87.7,125.0,34.6,85.7,123.5,10.41,0,0
rs,producers-consumers,2,16,1,1,47857.2,58.8,37.7,96.8,148.3,38.0,96.3,151.1,37.0,96.1,145.4,9.90,0,0
ref,producers-consumers,2,16,1,2,47747.5,47.6,38.2,93.4,128.3,39.4,94.1,129.5,37.6,91.8,126.5,9.98,0,0
rs,producers-consumers,2,16,1,2,48392.4,58.6,37.4,94.1,125.3,37.9,94.3,124.8,36.8,91.9,124.4,9.67,0,0
ref,producers-consumers,2,16,1,3,28860.3,38.0,49.2,567.4,2140.2,51.3,590.2,2232.2,48.7,554.8,2142.4,9.26,0,0
rs,producers-consumers,2,16,1,3,46661.6,58.9,38.9,99.0,131.9,39.2,99.1,136.8,38.3,99.0,133.0,9.13,0,0
ref,producers-consumers,2,4096,1,1,45042.1,49.3,40.8,107.1,139.9,41.1,101.6,138.6,38.1,96.6,130.0,8.97,0,0
rs,producers-consumers,2,4096,1,1,45168.0,61.5,39.7,107.9,148.4,39.5,108.7,153.0,37.5,106.0,144.0,8.66,0,0
ref,producers-consumers,2,4096,1,2,45919.2,49.5,40.1,101.9,135.0,40.8,94.7,125.1,37.8,92.1,122.8,8.48,0,0
rs,producers-consumers,2,4096,1,2,46895.8,60.5,39.2,96.5,136.0,38.5,97.8,136.8,36.8,94.8,135.0,7.86,0,0
ref,producers-consumers,2,4096,1,3,62703.3,48.6,28.3,81.8,121.5,28.8,78.5,111.9,27.1,75.1,109.5,7.96,0,0
rs,producers-consumers,2,4096,1,3,43761.8,61.1,42.1,104.5,145.0,41.6,103.8,143.5,39.9,101.8,143.5,7.63,0,0
ref,producers-consumers,10,16,1,1,102298.0,85.9,90.1,221.7,273.2,91.2,223.2,275.8,89.7,221.2,273.5,7.30,0,0
rs,producers-consumers,10,16,1,1,111722.7,178.3,86.5,170.2,227.6,87.0,170.2,230.0,86.0,169.5,225.2,7.56,0,0
ref,producers-consumers,10,16,1,2,111863.4,86.9,82.9,206.3,276.2,83.9,208.5,277.7,82.4,204.3,272.6,7.52,0,0
rs,producers-consumers,10,16,1,2,118427.3,170.9,80.8,169.0,216.4,81.1,170.6,216.9,80.2,169.1,215.0,7.75,0,0
ref,producers-consumers,10,16,1,3,95260.0,87.9,94.2,235.5,314.2,95.5,236.8,312.9,93.6,234.5,313.8,7.65,0,0
rs,producers-consumers,10,16,1,3,107461.3,178.1,90.0,179.2,226.2,90.5,179.3,232.1,89.4,178.3,227.3,8.01,0,0
ref,producers-consumers,10,4096,1,1,102772.0,90.2,102.3,237.8,316.0,84.5,191.5,252.9,81.6,187.5,250.2,8.23,0,0
rs,producers-consumers,10,4096,1,1,104846.9,186.8,92.4,189.2,257.1,91.8,186.9,257.3,90.2,186.0,254.0,7.64,0,0
ref,producers-consumers,10,4096,1,2,102914.5,91.2,101.9,241.9,309.5,83.8,192.8,245.2,81.1,190.4,240.2,7.83,0,0
rs,producers-consumers,10,4096,1,2,122861.0,178.8,76.5,176.3,235.9,76.3,176.0,236.0,74.9,173.3,236.2,8.01,0,0
ref,producers-consumers,10,4096,1,3,101739.0,89.9,102.8,245.2,325.6,84.9,195.6,263.5,82.2,191.8,258.8,8.08,0,0
