server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,10,4096,1,3,29787.2,99.0,318.8,492.3,3317.2,308.1,460.8,2747.1,299.0,451.6,6199.0,4.50,0,0,cluster-leader,,3,leader,191.8,1:F:47.3;2:F:45.9;3:L*:98.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,3,18098.3,61.2,356.2,855.7,35881.4,349.1,832.5,33263.0,347.6,821.0,34595.7,4.14,0,0,cluster-follower,,3,follower,155.1,1:F*:60.9;2:F:33.9;3:L:60.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,4,176815.9,137.6,54.7,107.2,167.7,54.5,106.6,167.0,53.7,105.6,166.3,4.37,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,4,22360.9,74.8,320.8,1119.9,26695.5,310.9,1124.1,24866.5,304.8,2165.8,29876.0,4.14,0,0,cluster-leader,,3,leader,144.5,1:F:35.4;2:F:34.6;3:L*:74.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,4,17666.3,59.1,363.8,8373.4,23363.7,357.2,7441.2,22953.2,354.8,8048.2,23082.8,3.97,0,0,cluster-follower,,3,follower,149.8,1:F*:58.8;2:F:33.0;3:L:58.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,5,176395.6,138.0,54.7,108.6,178.0,54.5,108.4,172.8,53.8,107.3,172.3,4.05,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,5,21067.3,70.3,318.0,9078.7,26199.6,308.5,5705.9,20336.2,297.8,6987.6,20319.9,4.37,0,0,cluster-leader,,3,leader,134.0,1:F:32.0;2:F:32.0;3:L*:70.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,5,13755.6,46.8,374.3,16538.2,36929.4,368.6,14956.9,30216.9,368.7,15156.7,31272.0,4.23,0,0,cluster-follower,,3,follower,118.6,1:L:46.1;2:F*:46.7;3:F:25.8,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,1,206229.1,201.2,477.5,663.0,878.6,478.0,665.3,888.3,477.5,663.2,860.1,4.05,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,1,137695.7,207.2,721.5,963.2,1089.3,721.5,966.0,1084.8,720.7,968.1,1084.0,4.13,0,0,cluster-leader,,3,leader,268.4,1:F:32.4;2:F:31.6;3:L*:204.4,0,0,0,0,0,0,0,0
