server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,10,4096,1,3,10805.3,50.6,501.2,887.8,67493.3,479.4,808.2,67464.8,475.3,802.7,67463.5,5.54,0,0,cluster-leader,,3,leader,80.7,1:L*:50.4;2:F:14.8;3:F:15.5,14,1,0,0,0,1,1,0
rs,put-reserve-delete,10,4096,1,3,9528.3,31.0,580.2,831.6,1068.5,554.6,798.5,1033.5,547.9,796.7,1057.3,5.26,0,0,cluster-follower,,3,follower,84.8,1:F*:30.8;2:F:18.0;3:L:36.0,39,3,0,0,0,4,0,0
rs,put-reserve-delete,10,4096,1,4,156433.7,150.4,61.1,132.6,187.0,60.9,131.8,188.0,60.0,130.8,186.4,5.19,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,4,10951.4,48.9,483.5,814.7,46490.5,459.2,790.5,168215.5,457.1,781.8,64816.9,5.01,0,0,cluster-leader,,3,leader,80.5,1:F:15.6;2:F:16.2;3:L*:48.7,11,1,0,0,0,1,1,0
rs,put-reserve-delete,10,4096,1,4,12064.7,45.5,629.3,2033.1,38135.4,598.1,1877.2,33832.7,587.5,1818.7,35913.0,5.37,0,0,cluster-follower,,3,follower,126.6,1:F*:45.4;2:L:58.7;3:F:22.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,4096,1,5,141378.4,161.7,68.0,142.9,187.0,67.7,142.0,180.6,66.5,140.5,180.9,6.14,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,5,10550.8,48.6,507.2,954.1,164930.4,482.6,893.3,164956.0,479.5,873.4,111351.6,7.01,0,0,cluster-leader,,3,leader,79.0,1:F:14.5;2:F:16.1;3:L*:48.4,15,1,0,0,0,1,1,0
rs,put-reserve-delete,10,4096,1,5,8694.9,28.9,572.7,860.9,1714.4,547.6,822.9,305199.9,540.0,819.5,215194.2,6.93,0,0,cluster-follower,,3,follower,77.2,1:F*:28.6;2:F:14.1;3:L:34.5,38,3,0,0,0,5,0,0
rs,put-reserve-delete,100,16,1,1,160764.1,242.9,613.8,877.6,1106.0,614.2,881.2,1203.5,613.2,878.3,1153.4,6.77,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,1,28067.0,100.0,3579.0,4554.2,15172.4,3529.7,4499.1,15093.7,3524.7,4487.2,14863.9,7.43,0,0,cluster-leader,,3,leader,114.0,1:F:7.3;2:F:7.3;3:L*:99.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,1,21106.3,41.9,4796.1,6039.4,6444.6,4736.4,6016.4,6401.2,4733.7,6036.6,6421.7,7.23,0,0,cluster-follower,,3,follower,87.2,1:F*:41.8;2:F:6.3;3:L:39.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,173399.0,229.2,571.5,863.5,1140.6,571.8,865.1,1133.5,571.2,861.8,1134.0,7.29,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,2,27980.4,102.8,3621.5,4656.9,5329.1,3572.4,4535.0,5332.2,3563.1,4510.5,5395.1,7.52,0,0,cluster-leader,,3,leader,117.1,1:F:7.5;2:F:7.5;3:L*:102.1,0,0,0,0,0,0,0,0
