server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
rs,producers-consumers,2,16,1,1,53691.9,61.8,33.6,84.9,117.0,34.7,86.0,123.2,32.8,82.7,115.5,7.19
ref,producers-consumers,2,16,1,2,59696.2,45.1,31.6,67.4,97.6,32.4,68.4,98.4,31.2,67.2,100.6,6.85
rs,producers-consumers,2,16,1,2,60668.7,60.9,30.7,67.0,98.8,31.8,68.2,101.2,29.8,66.3,99.1,6.94
ref,producers-consumers,2,16,1,3,58802.3,44.9,31.9,71.1,105.0,32.8,72.3,106.2,31.4,71.0,105.5,6.26
rs,producers-consumers,2,16,1,3,59816.4,61.2,31.0,70.4,104.8,32.0,71.4,103.8,30.1,69.1,102.1,5.98
ref,producers-consumers,2,4096,1,1,56782.6,47.7,33.9,73.5,112.4,33.6,70.6,105.0,31.4,67.8,102.1,5.52
rs,producers-consumers,2,4096,1,1,57207.2,62.4,33.0,71.6,107.0,33.8,73.0,108.6,30.6,69.5,104.3,5.21
ref,producers-consumers,2,4096,1,2,57395.1,47.0,33.7,69.9,104.9,33.5,67.6,102.5,31.2,65.0,98.0,4.79
rs,producers-consumers,2,4096,1,2,48920.0,62.7,37.2,94.1,134.3,37.8,94.0,133.6,34.8,92.6,133.0,4.91
ref,producers-consumers,2,4096,1,3,47258.3,49.3,39.1,96.8,135.4,39.6,91.7,126.9,36.6,88.2,124.7,5.36
rs,producers-consumers,2,4096,1,3,46200.6,63.7,39.6,98.0,140.9,39.7,98.8,134.8,36.8,95.6,132.8,5.31
ref,producers-consumers,10,16,1,1,109269.8,87.9,85.1,203.0,258.0,86.5,205.0,261.4,84.5,201.4,256.4,5.57
rs,producers-consumers,10,16,1,1,104072.0,200.3,93.2,182.9,229.4,93.0,181.8,226.8,91.8,180.7,230.1,6.01
ref,producers-consumers,10,16,1,2,122591.0,89.0,76.0,180.9,263.3,77.1,183.0,263.6,75.3,180.0,257.8,6.07
rs,producers-consumers,10,16,1,2,120721.9,190.5,80.0,163.9,213.1,79.7,163.1,213.3,78.7,160.9,210.7,6.13
ref,producers-consumers,10,16,1,3,138024.0,88.5,68.2,142.8,200.4,69.2,143.7,201.9,67.5,141.8,198.6,6.28
rs,producers-consumers,10,16,1,3,135408.5,175.1,70.9,147.9,196.4,70.7,146.9,196.6,69.8,145.7,194.7,6.00
ref,producers-consumers,10,4096,1,1,128623.6,89.4,84.9,164.5,214.7,68.3,136.7,190.5,65.7,134.1,184.8,5.99
rs,producers-consumers,10,4096,1,1,130265.8,183.8,74.1,154.6,200.3,73.5,152.1,196.1,71.7,150.4,195.6,5.77
ref,producers-consumers,10,4096,1,2,129906.0,91.1,83.8,163.5,219.4,67.0,137.1,189.0,64.6,134.2,187.7,5.80
rs,producers-consumers,10,4096,1,2,128516.9,186.8,75.2,156.0,202.2,74.6,153.4,199.5,73.0,151.1,196.6,5.97
ref,producers-consumers,10,4096,1,3,130406.1,91.1,83.2,161.5,216.1,66.8,136.0,184.2,64.4,133.2,181.0,6.04
rs,producers-consumers,10,4096,1,3,121967.0,190.6,78.6,169.8,232.2,78.0,168.0,234.0,76.4,166.2,228.1,6.20
ref,producers-consumers,100,16,1,1,166731.3,98.5,583.5,806.2,1323.9,584.1,808.7,1266.7,583.2,807.2,1339.0,6.48
rs,producers-consumers,100,16,1,1,143952.8,320.0,691.0,949.0,1216.5,690.1,952.9,1196.5,690.1,947.6,1228.1,6.18
ref,producers-consumers,100,16,1,2,165482.4,98.6,590.3,835.2,1307.2,591.2,836.4,1306.7,589.8,833.5,1330.2,6.06
rs,producers-consumers,100,16,1,2,144679.3,319.8,685.7,948.3,1382.2,685.0,950.2,1293.3,684.1,947.3,1366.8,6.05
ref,producers-consumers,100,16,1,3,163548.4,98.5,597.4,825.5,1331.0,598.4,826.7,1276.9,597.0,824.5,1348.7,7.19
rs,producers-consumers,100,16,1,3,171874.2,302.9,574.2,813.4,1221.2,573.0,809.9,1185.3,572.7,813.2,1237.4,6.92
ref,producers-consumers,100,4096,1,1,149751.2,98.2,798.7,1125.7,1535.8,548.6,785.5,1278.8,547.4,783.0,1329.1,6.85
rs,producers-consumers,100,4096,1,1,137987.5,340.2,721.4,1026.6,1614.6,718.7,1020.5,1668.5,717.9,1020.6,1579.8,6.78
ref,producers-consumers,100,4096,1,2,147898.3,98.2,810.2,1141.5,1478.8,555.8,799.5,1341.8,554.2,796.0,1344.6,6.85
rs,producers-consumers,100,4096,1,2,133964.3,339.0,736.4,1111.1,1518.6,734.1,1107.0,1519.1,732.8,1106.6,1565.5,6.79
ref,producers-consumers,100,4096,1,3,124009.3,98.7,978.8,1381.3,1926.0,668.6,965.2,1421.8,666.8,964.4,1379.3,7.93
rs,producers-consumers,100,4096,1,3,121789.0,295.6,763.8,1972.5,10499.7,761.5,1897.1,10480.0,760.0,1982.8,10556.8,7.76
