server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,10,16,1,1,147678.8,151.2,64.7,133.7,166.3,64.9,134.3,167.9,64.5,133.3,167.0,8.96,0,0,none,
rs,put-reserve-delete,10,16,1,1,150604.0,155.6,63.5,132.5,190.4,63.6,133.4,189.7,63.2,132.3,189.2,8.56,0,0,none,
ref,put-reserve-delete,10,16,1,2,148087.0,158.3,64.9,133.2,180.0,64.9,133.1,178.8,64.5,132.4,176.3,8.44,0,0,none,
rs,put-reserve-delete,10,16,1,2,146327.6,159.0,65.5,135.5,183.0,65.6,135.0,181.8,65.2,134.5,178.6,8.48,0,0,none,
ref,put-reserve-delete,10,16,1,3,144482.1,158.6,66.0,139.9,187.0,66.2,140.1,185.7,65.8,140.1,186.8,8.04,0,0,none,
rs,put-reserve-delete,10,16,1,3,146485.0,158.4,65.5,135.2,180.1,65.7,135.8,179.6,65.2,134.4,177.0,8.00,0,0,none,
ref,put-reserve-delete,10,16,1,4,144117.9,157.2,66.3,140.4,190.6,66.4,140.8,192.1,65.9,140.3,190.7,7.92,0,0,none,
rs,put-reserve-delete,10,16,1,4,146456.6,155.0,65.4,135.2,184.0,65.6,134.8,183.3,65.2,134.5,180.8,8.08,0,0,none,
ref,put-reserve-delete,10,16,1,5,146631.4,156.1,65.4,135.0,186.4,65.6,135.0,187.6,65.1,134.5,185.2,8.00,0,0,none,
rs,put-reserve-delete,10,16,1,5,147291.9,156.0,65.1,133.3,185.2,65.3,134.0,184.2,64.9,133.2,182.9,8.08,0,0,none,
ref,put-reserve-delete,10,16,1,6,145938.0,157.5,65.6,136.8,187.0,65.8,136.7,184.7,65.4,135.8,187.1,7.99,0,0,none,
rs,put-reserve-delete,10,16,1,6,144592.8,158.5,65.8,142.2,227.8,66.0,142.6,228.2,65.6,141.8,221.8,7.83,0,0,none,
ref,put-reserve-delete,10,16,1,7,147344.9,155.2,65.1,134.2,189.6,65.2,134.5,189.8,64.7,134.0,188.0,7.76,0,0,none,
rs,put-reserve-delete,10,16,1,7,146205.4,155.4,65.5,135.8,187.0,65.7,135.3,186.5,65.2,134.9,188.1,7.78,0,0,none,
ref,put-reserve-delete,10,4096,1,1,142689.3,162.4,67.5,139.4,193.5,67.3,138.1,190.0,66.2,136.8,189.2,7.72,0,0,none,
rs,put-reserve-delete,10,4096,1,1,129058.6,156.5,71.2,187.9,592.0,70.8,187.2,509.0,69.7,185.1,576.1,9.02,0,0,none,
ref,put-reserve-delete,10,4096,1,2,128832.7,153.2,70.7,199.5,486.9,70.5,198.7,452.2,69.4,195.5,426.6,8.70,0,0,none,
rs,put-reserve-delete,10,4096,1,2,137705.3,166.5,70.0,148.0,187.9,69.6,146.8,190.1,68.5,144.1,186.0,11.21,0,0,none,
ref,put-reserve-delete,10,4096,1,3,142656.4,162.7,67.6,139.0,189.4,67.4,137.7,191.0,66.4,136.8,188.0,10.95,0,0,none,
rs,put-reserve-delete,10,4096,1,3,141870.7,163.0,68.0,141.2,192.0,67.7,140.5,190.7,66.6,138.8,188.2,10.79,0,0,none,
ref,put-reserve-delete,10,4096,1,4,138798.1,163.9,69.0,149.5,212.2,68.7,149.4,210.5,67.5,147.2,205.2,10.57,0,0,none,
rs,put-reserve-delete,10,4096,1,4,119546.2,157.2,74.8,225.8,831.8,74.2,227.8,816.5,73.0,223.2,852.8,10.28,0,0,none,
ref,put-reserve-delete,10,4096,1,5,129138.3,163.2,72.2,173.1,423.2,71.9,171.0,427.5,70.8,169.2,436.9,9.63,0,0,none,
rs,put-reserve-delete,10,4096,1,5,141480.3,162.1,68.1,141.1,187.9,67.9,140.5,186.9,66.8,138.5,186.5,9.18,0,0,none,
ref,put-reserve-delete,10,4096,1,6,142654.3,161.5,67.5,141.3,195.2,67.1,141.1,193.2,66.2,139.0,193.4,9.08,0,0,none,
rs,put-reserve-delete,10,4096,1,6,143151.1,164.3,67.5,138.0,185.8,67.2,137.3,183.7,66.1,136.0,182.8,8.92,0,0,none,
ref,put-reserve-delete,10,4096,1,7,138302.3,166.5,69.4,147.7,190.6,69.1,147.0,190.6,68.0,145.1,186.8,8.84,0,0,none,
rs,put-reserve-delete,10,4096,1,7,142264.3,164.9,67.8,140.5,191.0,67.5,139.2,187.6,66.4,138.0,185.0,8.78,0,0,none,
ref,put-reserve-delete,100,16,1,1,162767.2,241.1,607.8,854.9,987.8,608.3,857.5,1008.9,607.8,855.5,1007.4,8.63,0,0,none,
rs,put-reserve-delete,100,16,1,1,161518.9,242.3,611.6,874.6,1058.9,612.3,876.8,1079.0,611.7,877.0,1094.1,8.74,0,0,none,
ref,put-reserve-delete,100,16,1,2,159931.2,240.6,615.2,892.2,1019.6,615.6,894.4,1040.0,614.8,895.2,1041.1,8.68,0,0,none,
rs,put-reserve-delete,100,16,1,2,161369.1,241.6,612.0,880.2,976.7,612.3,882.7,980.5,611.7,881.2,975.9,8.79,0,0,none,
ref,put-reserve-delete,100,16,1,3,164018.6,237.9,603.7,849.2,1003.4,604.3,850.1,1019.6,603.7,846.6,985.8,9.13,0,0,none,
rs,put-reserve-delete,100,16,1,3,161242.5,236.7,608.4,903.3,1105.2,608.9,901.9,1131.9,608.2,898.9,1082.8,8.88,0,0,none,
ref,put-reserve-delete,100,16,1,4,153216.0,239.6,631.1,1001.1,1764.7,631.5,1006.6,1785.6,630.8,1007.9,1842.7,8.64,0,0,none,
rs,put-reserve-delete,100,16,1,4,135851.6,216.6,685.3,1629.2,6934.8,686.9,1642.4,4768.6,685.4,1635.1,5299.6,8.59,0,0,none,
