server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
ref,put-reserve-delete,10,4096,1,2,103409.6,93.9,97.8,214.1,7235.5,76.3,162.6,6979.3,78.7,167.9,7011.0,8.22,0,0,F
rs,put-reserve-delete,10,4096,1,2,142224.9,180.7,67.0,135.1,1535.5,64.0,129.9,1206.9,65.1,130.6,1119.4,7.96,0,0,F
ref,put-reserve-delete,10,4096,1,2,105402.0,94.4,95.9,205.8,7275.0,74.5,153.2,7074.5,76.7,159.1,7092.6,8.20,0,0,default
rs,put-reserve-delete,10,4096,1,2,139574.3,177.8,67.0,135.8,1692.9,64.2,130.0,1173.7,65.2,133.3,1158.6,8.03,0,0,default
ref,put-reserve-delete,10,4096,1,2,24631.4,31.5,244.2,359.7,8014.9,150.4,257.2,7091.5,175.4,279.2,510.6,8.35,0,0,f0
rs,put-reserve-delete,10,4096,1,2,23082.8,43.9,166.0,321.3,2109.7,148.2,296.5,1914.5,152.0,318.4,1875.3,7.76,0,0,f0
ref,put-reserve-delete,10,4096,1,3,136478.1,73.3,81.5,130.2,186.1,74.8,115.0,177.0,72.7,114.0,175.8,7.54,0,0,none
rs,put-reserve-delete,10,4096,1,3,175633.5,137.5,55.0,109.0,159.8,54.9,108.5,157.3,54.0,107.6,157.4,7.09,0,0,none
ref,put-reserve-delete,10,4096,1,3,105610.5,95.1,96.6,209.7,7252.1,74.9,160.6,6967.5,77.2,163.6,6994.3,6.68,0,0,F
rs,put-reserve-delete,10,4096,1,3,134342.5,171.9,71.2,141.8,1521.7,68.7,134.2,1097.6,69.4,136.6,1084.6,6.62,0,0,F
ref,put-reserve-delete,10,4096,1,3,106388.5,94.9,95.7,201.7,7547.9,73.6,151.7,6892.1,75.7,156.6,7302.9,6.57,0,0,default
rs,put-reserve-delete,10,4096,1,3,132541.5,169.7,70.8,144.1,1639.0,68.2,137.1,1102.3,69.0,141.1,1250.8,6.77,0,0,default
ref,put-reserve-delete,10,4096,1,3,23553.1,30.6,242.8,401.7,7470.5,152.5,284.2,7288.6,175.0,324.5,7151.2,6.79,0,0,f0
rs,put-reserve-delete,10,4096,1,3,25027.7,47.0,165.5,305.6,1933.6,147.4,271.4,1900.0,151.2,293.8,1895.6,6.56,0,0,f0
ref,put-reserve-delete,100,16,1,1,189608.2,98.8,516.2,733.4,1156.4,517.4,735.3,1231.8,516.2,731.3,1129.2,6.44,0,0,none
rs,put-reserve-delete,100,16,1,1,220785.5,176.6,445.0,606.0,735.7,445.3,606.2,742.6,444.9,605.5,717.2,6.64,0,0,none
ref,put-reserve-delete,100,16,1,1,127662.9,98.7,780.4,1258.8,1881.2,753.6,1182.9,1626.3,767.0,1223.3,1937.8,6.83,0,0,F
rs,put-reserve-delete,100,16,1,1,202825.8,236.3,486.1,680.6,1474.9,485.3,677.7,1468.5,486.0,680.5,1026.0,6.84,0,0,F
ref,put-reserve-delete,100,16,1,1,129556.9,98.7,767.0,1206.7,1495.0,745.8,1163.8,1409.2,756.4,1194.1,1464.5,7.42,0,0,default
