server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
ref,producers-consumers,100,16,1,2,46453.4,58.9,2121.2,2908.4,3681.0,2040.1,2802.3,3621.3,2190.2,3014.2,3622.8,7.65,0,0,f0
rs,producers-consumers,100,16,1,2,60805.4,116.5,1634.4,2147.5,2844.9,1634.8,2117.2,2995.0,1629.2,2100.7,2777.5,7.32,0,0,f0
ref,producers-consumers,100,16,1,3,191518.5,98.5,515.1,672.9,907.0,515.7,674.2,1015.1,515.0,671.6,899.6,6.80,0,0,none
rs,producers-consumers,100,16,1,3,204973.9,201.8,480.4,654.5,865.4,481.0,655.0,887.5,480.1,653.8,855.7,6.58,0,0,none
ref,producers-consumers,100,16,1,3,120840.7,98.4,806.0,1301.8,1505.8,802.9,1292.5,1486.1,808.4,1307.7,1528.7,6.26,0,0,F
rs,producers-consumers,100,16,1,3,184620.2,267.6,535.6,710.4,1634.1,534.7,708.8,1667.4,535.7,710.8,1647.2,5.52,0,0,F
ref,producers-consumers,100,16,1,3,120523.0,98.1,807.0,1321.9,1659.7,803.3,1317.6,1601.2,809.7,1322.1,1695.4,5.88,0,0,default
rs,producers-consumers,100,16,1,3,184005.8,267.0,537.4,718.9,1562.1,536.3,718.3,1572.5,537.0,719.2,1551.8,6.06,0,0,default
ref,producers-consumers,100,16,1,3,49874.4,61.9,1983.1,2655.5,3383.7,1918.7,2587.4,3343.4,2037.7,2705.4,3370.2,6.72,0,0,f0
rs,producers-consumers,100,16,1,3,60589.5,116.2,1642.5,2135.1,2650.5,1640.7,2094.0,3069.3,1637.2,2088.5,2594.4,6.58,0,0,f0
ref,producers-consumers,100,4096,1,1,173899.4,98.3,690.8,955.2,1230.6,477.2,661.6,818.8,476.3,658.9,784.0,6.11,0,0,none
rs,producers-consumers,100,4096,1,1,196703.0,231.7,500.4,699.1,922.5,500.5,698.6,985.5,499.2,698.0,927.9,5.93,0,0,none
ref,producers-consumers,100,4096,1,1,99780.5,97.4,1052.1,8626.7,9902.0,709.4,8025.3,9340.8,712.8,8035.3,9327.7,6.74,0,0,F
rs,producers-consumers,100,4096,1,1,168315.6,297.7,569.4,1560.2,1975.8,567.2,1563.8,1982.1,567.5,1559.8,1984.9,6.68,0,0,F
ref,producers-consumers,100,4096,1,1,100666.9,97.3,1043.8,8641.1,9625.5,702.4,8021.6,9102.4,707.0,8043.5,9035.2,6.94,0,0,default
rs,producers-consumers,100,4096,1,1,165889.9,289.3,568.3,1538.7,2031.6,566.4,1534.8,2124.2,566.6,1531.7,1999.5,6.72,0,0,default
ref,producers-consumers,100,4096,1,1,26843.9,36.6,2433.9,10096.5,401309.9,1574.6,8995.6,398689.4,1710.9,9162.9,400191.2,6.96,0,0,f0
rs,producers-consumers,100,4096,1,1,21604.2,46.2,1754.1,4095.8,454535.9,1747.4,3883.0,407719.9,1740.2,3701.5,406967.3,6.48,0,0,f0
ref,producers-consumers,100,4096,1,2,169121.4,98.0,688.3,1129.0,1372.1,476.9,788.8,1012.0,476.2,787.8,968.2,6.19,0,0,none
rs,producers-consumers,100,4096,1,2,192573.1,233.6,505.8,791.0,1081.1,506.0,789.1,1066.1,504.7,789.6,1161.8,6.26,0,0,none
ref,producers-consumers,100,4096,1,2,101022.7,98.0,1044.1,8479.3,9255.5,703.6,7921.6,8780.3,707.6,7937.5,8847.4,6.64,0,0,F
rs,producers-consumers,100,4096,1,2,166996.6,296.6,571.4,1555.0,1955.2,569.5,1558.3,1955.8,569.4,1550.8,1956.2,6.27,0,0,F
ref,producers-consumers,100,4096,1,2,100727.6,97.5,1042.2,8589.3,9476.0,701.6,8039.2,8989.6,706.5,8043.4,8968.4,6.61,0,0,default
rs,producers-consumers,100,4096,1,2,164667.2,292.2,571.9,1556.7,2044.6,569.8,1553.7,2098.0,569.9,1551.7,2011.6,6.25,0,0,default
ref,producers-consumers,100,4096,1,2,31160.0,42.7,2420.6,10142.7,326828.2,1554.5,8959.2,264379.2,1718.3,9109.5,325867.4,6.37,0,0,f0
rs,producers-consumers,100,4096,1,2,21800.6,45.5,1738.1,3999.8,474228.7,1731.8,4141.6,662636.5,1727.2,3649.8,401219.7,5.86,0,0,f0
ref,producers-consumers,100,4096,1,3,176638.7,98.7,679.7,936.0,1354.8,469.8,652.0,941.4,469.0,649.7,854.6,5.35,0,0,none
rs,producers-consumers,100,4096,1,3,195661.6,232.1,502.8,695.1,1027.3,503.2,696.5,1214.2,501.7,694.2,1027.5,5.25,0,0,none
ref,producers-consumers,100,4096,1,3,102849.1,98.5,1033.1,8483.0,9402.8,696.6,7901.8,8711.8,700.3,7903.2,8695.4,5.59,0,0,F
rs,producers-consumers,100,4096,1,3,168222.6,296.8,570.2,1559.9,1862.3,567.8,1564.0,1871.7,568.5,1558.9,1855.6,5.78,0,0,F
ref,producers-consumers,100,4096,1,3,101191.7,97.5,1035.5,8581.3,9665.9,698.2,8034.9,9055.3,701.2,8049.8,9031.2,6.42,0,0,default
rs,producers-consumers,100,4096,1,3,163102.5,292.3,575.2,1552.4,2089.2,572.8,1556.5,2148.1,573.2,1550.8,2092.3,5.96,0,0,default
ref,producers-consumers,100,4096,1,3,25141.5,34.0,2406.8,9844.4,414295.7,1475.2,8767.0,410864.5,1760.6,9033.8,412470.0,6.20,0,0,f0
rs,producers-consumers,100,4096,1,3,24338.6,50.7,1738.1,3610.6,432649.6,1729.3,3549.0,542374.7,1732.5,3500.1,432359.8,5.55,0,0,f0
