server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
rs,put-reserve-delete,10,16,1,3,105821.4,202.2,91.6,178.6,223.6,92.6,180.1,222.0,90.7,178.0,218.8,6.14
ref,put-reserve-delete,10,4096,1,1,111951.4,89.2,94.2,222.0,306.1,80.1,186.0,252.0,77.0,184.0,254.0,6.93
rs,put-reserve-delete,10,4096,1,1,104142.3,207.1,93.2,184.0,231.3,94.0,184.1,229.8,91.1,180.8,229.7,7.34
ref,put-reserve-delete,10,4096,1,2,109203.5,89.2,96.6,222.9,291.2,82.7,186.6,242.6,79.6,182.7,234.7,7.47
rs,put-reserve-delete,10,4096,1,2,103636.7,207.2,93.7,182.4,234.0,94.4,184.3,235.2,91.8,179.9,229.2,7.59
ref,put-reserve-delete,10,4096,1,3,107285.8,88.6,97.2,232.4,349.6,83.2,195.1,308.5,80.2,191.2,302.3,7.54
rs,put-reserve-delete,10,4096,1,3,103010.4,207.6,94.4,184.1,228.0,95.2,184.5,228.5,92.2,180.3,222.8,7.50
ref,put-reserve-delete,100,16,1,1,133743.6,98.0,742.2,1045.3,1309.0,744.0,1044.8,1415.0,741.8,1041.1,1368.0,16.51
rs,put-reserve-delete,100,16,1,1,83185.0,271.6,1221.0,1504.7,2053.8,1241.5,1528.7,2089.0,1236.9,1528.5,2270.3,15.91
ref,put-reserve-delete,100,16,1,2,137026.8,97.2,726.7,990.2,1200.5,728.6,995.3,1238.8,726.6,991.8,1240.2,17.28
rs,put-reserve-delete,100,16,1,2,87172.4,258.3,1162.3,1474.3,1735.6,1189.2,1523.7,1794.4,1182.8,1517.8,1695.0,17.97
ref,put-reserve-delete,100,16,1,3,132181.2,98.3,745.0,1096.9,1549.9,747.4,1096.8,1470.0,744.2,1095.3,1510.1,17.26
rs,put-reserve-delete,100,16,1,3,85611.6,257.3,1191.5,1496.0,2112.9,1218.5,1573.3,2392.2,1211.0,1545.6,2288.1,16.67
ref,put-reserve-delete,100,4096,1,1,124497.3,97.3,1002.5,1445.1,2877.4,689.4,1021.9,1667.2,686.5,1014.0,1692.1,15.10
rs,put-reserve-delete,100,4096,1,1,78399.2,263.4,1279.2,1580.5,1914.2,1308.4,1648.3,1913.5,1300.2,1635.9,1931.2,14.53
ref,put-reserve-delete,100,4096,1,2,118472.5,98.0,1055.0,1463.3,1901.9,726.9,1035.7,1365.1,724.8,1033.5,1367.5,14.17
rs,put-reserve-delete,100,4096,1,2,79854.1,264.8,1266.4,1519.1,1826.8,1288.6,1602.6,1843.9,1281.5,1595.0,1822.1,14.15
ref,put-reserve-delete,100,4096,1,3,119595.6,98.7,1052.2,1369.0,1629.1,725.3,965.6,1183.7,722.8,966.7,1185.3,13.74
rs,put-reserve-delete,100,4096,1,3,79814.3,268.9,1257.0,1518.2,1845.8,1290.2,1589.8,1949.0,1280.5,1579.6,1866.7,13.68
ref,producers-consumers,2,16,1,1,47483.4,46.9,37.6,96.6,152.0,39.0,98.2,143.3,37.2,96.2,167.0,7.78
rs,producers-consumers,2,16,1,1,54468.6,60.5,33.0,82.8,115.3,34.3,84.7,116.7,32.3,81.9,114.8,7.65
ref,producers-consumers,2,16,1,2,47317.7,45.3,37.7,102.2,159.5,38.8,102.7,161.5,37.2,101.8,156.9,7.54
rs,producers-consumers,2,16,1,2,48707.1,60.6,36.7,94.4,128.6,38.0,95.8,131.9,36.2,93.2,132.1,7.38
ref,producers-consumers,2,16,1,3,46680.6,47.1,38.5,99.0,154.5,39.7,100.8,158.7,38.1,98.1,152.2,7.08
rs,producers-consumers,2,16,1,3,47111.3,61.2,38.2,94.8,126.8,39.6,97.5,133.3,37.8,94.8,126.5,6.76
ref,producers-consumers,2,4096,1,1,53511.6,47.8,35.2,80.8,117.8,35.3,77.7,108.2,33.0,74.8,108.2,9.07
rs,producers-consumers,2,4096,1,1,50324.3,61.9,36.0,92.0,133.1,36.9,92.9,133.6,33.9,89.0,126.4,8.20
ref,producers-consumers,2,4096,1,2,53391.6,47.8,35.3,83.2,121.1,35.4,80.0,117.4,32.8,76.6,111.0,7.95
rs,producers-consumers,2,4096,1,2,46437.4,61.1,39.0,98.8,133.2,39.5,100.7,136.0,36.7,95.5,130.4,7.65
ref,producers-consumers,2,4096,1,3,46928.8,49.7,39.4,98.2,133.6,39.8,92.1,125.7,37.0,89.0,118.0,7.53
rs,producers-consumers,2,4096,1,3,46153.4,62.5,39.7,97.4,129.5,39.9,97.2,130.6,37.2,93.6,126.6,7.30
ref,producers-consumers,10,16,1,1,109583.1,86.8,85.7,200.1,258.8,87.0,201.0,260.4,85.1,198.8,256.8,7.24
rs,producers-consumers,10,16,1,1,108795.5,195.5,88.9,173.8,215.1,89.8,174.0,216.2,88.6,172.9,216.3,7.52
ref,producers-consumers,10,16,1,2,110792.0,87.1,84.8,194.7,247.4,85.8,196.1,248.2,84.2,194.6,251.4,7.89
rs,producers-consumers,10,16,1,2,108194.6,195.3,89.5,174.3,213.0,90.2,175.0,212.3,89.0,174.2,215.3,7.98
ref,producers-consumers,10,16,1,3,126308.4,89.0,74.5,160.4,218.3,75.8,160.7,219.4,74.0,159.9,217.6,8.57
rs,producers-consumers,10,16,1,3,119478.7,187.7,80.0,166.8,221.8,81.0,168.4,219.1,79.8,165.6,223.4,7.94
ref,producers-consumers,10,4096,1,1,104162.5,88.5,101.5,222.1,296.0,84.1,183.0,234.9,81.5,180.2,232.4,8.26
rs,producers-consumers,10,4096,1,1,101157.8,205.6,96.5,185.5,230.8,96.2,185.1,230.2,93.9,182.0,226.3,7.98
ref,producers-consumers,10,4096,1,2,107164.2,88.3,95.7,276.2,635.0,78.4,220.0,533.8,75.5,216.3,490.5,8.22
rs,producers-consumers,10,4096,1,2,113077.3,200.7,85.7,173.1,234.6,85.4,172.5,225.4,83.5,170.9,225.0,7.96
ref,producers-consumers,10,4096,1,3,106073.2,90.3,99.7,221.8,292.2,82.2,182.0,234.8,79.5,178.2,229.8,8.04
rs,producers-consumers,10,4096,1,3,102752.1,205.7,94.7,184.1,237.0,94.5,184.3,236.1,92.2,180.5,230.4,7.95
ref,producers-consumers,100,16,1,1,123915.6,97.8,795.8,1139.2,1525.5,797.1,1143.8,1528.9,795.2,1135.9,1529.0,7.48
rs,producers-consumers,100,16,1,1,124349.8,309.2,803.2,1068.8,1580.9,804.3,1067.1,1581.2,803.1,1066.1,1604.2,8.06
ref,producers-consumers,100,16,1,2,127849.9,98.8,774.6,1043.0,1454.5,775.3,1046.1,1505.3,774.2,1043.3,1431.5,8.41
rs,producers-consumers,100,16,1,2,130126.8,309.3,765.9,1035.8,1488.2,766.9,1036.8,1485.7,765.7,1035.2,1495.1,8.54
ref,producers-consumers,100,16,1,3,136438.4,98.8,725.1,989.1,1437.0,726.3,990.8,1391.1,724.3,987.7,1440.5,8.91
rs,producers-consumers,100,16,1,3,124810.2,308.3,799.5,1068.5,1493.5,799.6,1070.0,1459.2,799.5,1068.4,1565.1,9.01
ref,producers-consumers,100,4096,1,1,132067.9,98.5,929.4,1262.6,1624.7,633.8,881.7,1274.4,631.8,881.2,1283.9,11.74
rs,producers-consumers,100,4096,1,1,130225.0,325.2,765.1,1038.0,1573.1,764.5,1037.1,1515.2,762.4,1032.2,1579.3,11.44
ref,producers-consumers,100,4096,1,2,133101.6,98.6,926.8,1211.9,1421.6,631.8,851.5,1088.6,630.0,848.0,1081.5,12.05
rs,producers-consumers,100,4096,1,2,129727.7,323.4,769.0,1054.0,1409.2,767.9,1053.2,1428.2,766.2,1048.7,1394.7,12.14
ref,producers-consumers,100,4096,1,3,129706.7,98.4,944.5,1265.5,1743.5,643.9,892.8,1587.1,642.5,887.6,1554.4,11.78
rs,producers-consumers,100,4096,1,3,129682.8,330.0,769.3,1030.0,1341.4,768.0,1026.3,1305.1,766.5,1023.0,1355.1,11.80
ref,put-only,1,16,1,1,43839.3,33.0,20.1,58.9,88.0,,,,,,,11.77
rs,put-only,1,16,1,1,35259.1,36.2,24.1,74.4,105.5,,,,,,,11.01
ref,put-only,1,16,1,2,37253.1,32.5,22.6,73.2,104.5,,,,,,,11.56
rs,put-only,1,16,1,2,35368.9,35.8,23.5,77.9,110.9,,,,,,,10.43
ref,put-only,1,16,1,3,37758.4,32.6,22.3,72.8,102.4,,,,,,,10.19
rs,put-only,1,16,1,3,36175.0,35.8,23.1,75.8,107.5,,,,,,,9.64
ref,put-only,1,4096,1,1,34525.0,34.6,24.5,75.9,107.3,,,,,,,9.70
rs,put-only,1,4096,1,1,32323.5,38.6,26.2,80.2,115.4,,,,,,,9.34
ref,put-only,1,4096,1,2,33598.2,34.5,25.2,77.4,107.5,,,,,,,9.38
rs,put-only,1,4096,1,2,30481.1,38.4,27.8,84.5,124.6,,,,,,,9.41
ref,put-only,1,4096,1,3,32991.3,34.1,26.0,77.5,108.2,,,,,,,9.42
rs,put-only,1,4096,1,3,31203.4,38.6,27.2,82.5,115.8,,,,,,,9.66
ref,put-only,10,16,1,1,110137.1,84.0,85.6,195.6,249.8,,,,,,,9.93
rs,put-only,10,16,1,1,99782.3,184.8,96.6,185.5,234.2,,,,,,,9.89
ref,put-only,10,16,1,2,97405.2,84.7,94.0,224.6,280.0,,,,,,,11.64
rs,put-only,10,16,1,2,109304.1,185.0,88.2,170.7,213.2,,,,,,,11.58
ref,put-only,10,16,1,3,112268.4,85.0,83.5,193.3,251.3,,,,,,,11.79
rs,put-only,10,16,1,3,107544.6,181.3,89.3,177.6,252.2,,,,,,,11.53
ref,put-only,10,4096,1,1,98931.8,90.0,93.6,207.0,276.0,,,,,,,10.87
rs,put-only,10,4096,1,1,104063.0,208.3,92.1,181.3,225.3,,,,,,,10.30
ref,put-only,10,4096,1,2,101484.3,90.9,92.2,203.0,268.7,,,,,,,10.58
